Male names,Female names
Abaco,Abbondanza
Abbondanzio,Acilia
Abbondio,Ada
Abdone,Adalberta
Abelardo,Adalgisa
Abele,Addolorata
Abenzio,Adelaide
Abibo,Adelasia
Abramio,Adele
Abramo,Adelina
Acacio,Adina
Acario,Adria
Accursio,Adriana
Achille,Agape
Acilio,Agata
Aciscolo,Agnese
Acrisio,Agostina
Adalardo,Aida
Adalberto,Alba
Adalfredo,Alberta
Adalgiso,Albina
Adalrico,Alcina
Adamo,Alda
Addo,Alessandra
Adelardo,Alessia
Adelberto,Alfonsa
Adelchi,Alfreda
Adelfo,Alice
Adelgardo,Alida
Adelmo,Alina
Adeodato,Allegra
Adolfo,Alma
Adone,Altea
Adriano,Amalia
Adrione,Amanda
Afro,Amata
Agabio,Ambra
Agamennone,Amelia
Agapito,Amina
Agazio,Anastasia
Agenore,Anatolia
Agesilao,Ancilla
Agostino,Andromeda
Agrippa,Angela
Aiace,Angelica
Aidano,Anita
Aimone,Anna
Aladino,Annabella
Alamanno,Annagrazia
Alano,Annamaria
Alarico,Annunziata
Albano,Antea
Alberico,Antigone
Alberto,Antonella
Albino,Antonia
Alboino,Apollina
Albrico,Apollonia
Alceo,Appia
Alceste,Arabella
Alcibiade,Argelia
Alcide,Arianna
Alcino,Armida
Aldo,Artemisa
Aldobrando,Asella
Aleandro,Asia
Aleardo,Assunta
Aleramo,Astrid
Alessandro,Atanasia
Alessio,Aurelia
Alfio,Aurora
Alfonso,Ausilia
Alfredo,Ausiliatrice
Algiso,Ave
Alighiero,Aza
Almerigo,Azelia
Almiro,Azzurra
Aloisio,Babila
Alvaro,Bambina
Alviero,Barbara
Alvise,Bartolomea
Amabile,Basilia
Amadeo,Bassilla
Amando,Batilda
Amanzio,Beata
Amaranto,Beatrice
Amato,Belina
Amatore,Benedetta
Amauri,Beniamina
Ambrogio,Benigna
Ambrosiano,Benvenuta
Amedeo,Berenice
Amelio,Bernadetta
Amerigo,Betta
Amico,Bianca
Amilcare,Bibiana
Amintore,Bice
Amleto,Brigida
Amone,Brigitta
Amore,Bruna
Amos,Brunilde
Ampelio,Calogera
Anacleto,Calpurnia
Andrea,Camelia
Angelo,Camilla
Aniceto,Candida
Aniello,Capitolina
Annibale,Carina
Ansaldo,Carla
Anselmo,Carlotta
Ansovino,Carmela
Antelmo,Carmen
Antero,Carola
Antimo,Carolina
Antino,Casilda
Antioco,Casimira
Antonello,Cassandra
Antonio,Cassiopea
Apollinare,Catena
Apollo,Caterina
Apuleio,Cecilia
Aquilino,Celeste
Araldo,Celinia
Aratone,Chiara
Arcadio,Cinzia
Archimede,Cirilla
Archippo,Clara
Arcibaldo,Claudia
Ardito,Clelia
Arduino,Clemenzia
Aresio,Cleo
Argimiro,Cleofe
Argo,Cleopatra
Arialdo,Cloe
Ariberto,Clorinda
Ariele,Cointa
Ariosto,Colomba
Aris,Concetta
Aristarco,Consolata
Aristeo,Cora
Aristide,Cordelia
Aristione,Corinna
Aristo,Cornelia
Aristofane,Cosima
Aristotele,Costanza
Armando,Crescenzia
Arminio,Cristiana
Arnaldo,Cristina
Aronne,Crocefissa
Arrigo,Cronida
Arturo,Cunegonda
Ascanio,Cuzia
Asdrubale, 
Asimodeo,Dafne
Assunto,Dalida
Asterio,Dalila
Astianatte,Damiana
Ataleo,Daniela
Atanasio,Daria
Athos,Deanna
Attila,Debora
Attilano,Degna
Attilio,Delfina
Auberto,Delia
Audace,Delinda
Augusto,Delizia
Aureliano,Demetria
Aurelio,Deodata
Auro,Desdemona
Ausilio,Desiderata
Averardo,Devota
Azeglio,Diamante
Azelio,Diana
Bacco,Dianora
Baldassarre,Diletta
Balderico,Dina
Baldo,Diodata
Baldomero,Dionisia
Baldovino,Doda
Barbarigo,Dolores
Bardo,Domenica
Bardomiano,Donata
Barnaba,Donatella
Barsaba,Donna
Barsimeo,Dora
Bartolo,Dorotea
Bartolomeo,Druina
Basileo,Dulina
Basilio, 
Bassiano,Ebe
Bastiano,Edda
Battista,Edelberga
Beato,Editta
Bellino,Edvige
Beltramo,Egizia
Benedetto,Egle
Beniamino,Elaide
Benigno,Elda
Benito,Elena
Benvenuto,Eleonora
Berardo,Elettra
Berengario,Eliana
Bernardo,Elide
Beronico,Elimena
Bertoldo,Elisa
Bertolfo,Elisabetta
Biagio,Elisea
Bibiano,Ella
Bindo,Eloisa
Bino,Elsa
Birino,Elvia
Bonagiunta,Elvira
Bonaldo,Emanuela
Bonaventura,Emilia
Bonavita,Emiliana
Bonifacio,Emma
Bonito,Enimia
Boris,Enrica
Bortolo,Eracla
Brancaleone,Ermelinda
Brando,Ermenegarda
Bruno,Ermenegilda
Bruto,Erminia
Caino,Ernesta
Caio,Ersilia
Calanico,Esmeralda
Calcedonio,Estella
Callisto,Ester
Calogero,Esterina
Camillo,Eufemia
Candido,Eufrasia
Cantidio,Eugenia
Canziano,Eulalia
Carlo,Euridice
Carmelo,Eusebia
Carmine,Eutalia
Caronte,Eva
Carponio,Evangelina
Casimiro,Evelina
Cassiano,Fabiana
Cassio,Fabiola
Casto,Fatima
Cataldo,Fausta
Catullo,Federica
Cecco,Fedora
Cecilio,Felicia
Celso,Felicita
Cesare,Fernanda
Cesario,Fiammetta
Cherubino,Filippa
Chiaffredo,Filomena
Cino,Fiordaliso
Cipriano,Fiore
Cirano,Fiorella
Ciriaco,Fiorenza
Cirillo,Flaminia
Cirino,Flavia
Ciro,Flaviana
Clarenzio,Flora
Claudio,Floriana
Cleandro,Floridia
Clemente,Florina
Cleonico,Foca
Climaco,Fortunata
Clinio,Fosca
Clodomiro,Franca
Clodoveo,Francesca
Colmanno,Fulvia
Colmazio, 
Colombano,Gabriella
Colombo,Gaia
Concetto,Galatea
Concordio,Gaudenzia
Corbiniano,Gelsomina
Coreno,Geltrude
Coriolano,Gemma
Cornelio,Generosa
Coronato,Genesia
Corrado,Genoveffa
Cosimo,Germana
Cosma,Gertrude
Costante,Ghita
Costantino,Giacinta
Costanzo,Giada
Cremenzio,Gigliola
Crescente,Gilda
Crescenzio,Giliola
Crespignano,Ginevra
Crispino,Gioacchina
Cristaldo,Gioconda
Cristiano,Gioia
Cristoforo,Giorgia
Crocefisso,Giovanna
Cuniberto,Gisella
Cupido,Giuditta
Daciano,Giulia
Dacio,Giuliana
Dagoberto,Giulitta
Dalmazio,Giuseppa
Damaso,Giuseppina
Damiano,Giusta
Damocle,Glenda
Daniele,Gloria
Danilo,Godeberta
Danio,Godiva
Dante,Grazia
Dario,Graziana
Davide,Graziella
Davino,Greta
Decimo,Griselda
Delfino,Guenda
Demetrio,Guendalina
Democrito,Gundelinda
Demostene,Ianira
Deodato,Ida
Desiderato,Idea
Desiderio,Iginia
Didimo,Ilaria
Diego,Ilda
Dino,Ildegarda
Diocleziano,Ildegonda
Diodoro,Ileana
Diogene,Ilenia
Diomede,Ilia
Dione,Ilva
Dionigi,Imelda
Dionisio,Immacolata
Divo,Incoronata
Dodato,Ines
Domenico,Innocenza
Domezio,Iolanda
Domiziano,Iole
Donatello,Iona
Donato,Ione
Doriano,Ionne
Doroteo,Irene
Duccio,Iride
Duilio,Iris
Durante,Irma
Eberardo,Irmina
Ecclesio,Isa
Edgardo,Isabella
Edilberto,Iside
Edilio,Isidora
Edmondo,Isotta
Edoardo,Italia
Efisio,Ivetta
Efrem,Lara
Egeo,Laura
Egidio,Lavinia
Eginardo,Lea
Egisto,Leda
Eleuterio,Lelia
Elia,Lena
Eliano,Leonia
Elifio,Leonilda
Eligio,Leontina
Elio,Letizia
Eliodoro,Lia
Eliseo,Liana
Elita,Liberata
Elmo,Liboria
Elogio,Licia
Elpidio,Lidania
Elvezio,Lidia
Elvino,Liliana
Elvio,Linda
Emanuele,Lisa
Emidio,Livia
Emiliano,Liviana
Emilio,Lodovica
Emmerico,Loredana
Empirio,Lorella
Endrigo,Lorena
Enea,Lorenza
Enecone,Loretta
Ennio,Loriana
Enrico,Luana
Enzo,Luce
Eraclide,Lucia
Eraldo,Luciana
Erardo,Lucilla
Erasmo,Lucrezia
Erberto,Ludovica
Ercolano,Luigia
Ercole,Luisa
Erenia,Luminosa
Eriberto,Luna
Erico, 
Ermanno,Macaria
Ermenegildo,Maddalena
Ermes,Mafalda
Ermete,Magda
Ermilo,Maida
Erminio,Manuela
Ernesto,Mara
Eros,Marana
Esaù,Marcella
Esuperio,Mareta
Eterie,Margherita
Ettore,Maria
Euclide,Marianna
Eufebio,Marica
Eufemio,Mariella
Eufronio,Marilena
Eugenio,Marina
Eusebio,Marinella
Euseo,Marinetta
Eustorgio,Marisa
Eustosio,Marita
Eutalio,Marta
Evaldo,Martina
Evandro,Maruta
Evaristo,Marzia
Evasio,Massima
Everardo,Matilde
Evidio,Maura
Evodio,Melania
Evremondo,Melissa
Ezechiele,Melitina
Ezio,Menodora
Fabiano,Mercede
Fabio,Messalina
Fabrizio,Mia
Famiano,Michela
Fausto,Milena
Fazio,Mimma
Fedele,Mina
Federico,Minerva
Fedro,Minervina
Felice,Miranda
Feliciano,Mirella
Ferdinando,Miriam
Fermiano,Mirta
Fermo,Moira
Fernando,Monica
Ferruccio,Morena
Festo,Morgana
Fidenziano, 
Fidenzio,Nadia
Filiberto,Natalia
Filippo,Natalina
Filomeno,Neiva
Fiorenziano,Nerea
Fiorenzo,Nicla
Flaviano,Nicoletta
Flavio,Nilde
Fleano,Nina
Floriano,Ninfa
Folco,Nives
Fortunato,Noemi
Fosco,Norina
Francesco,Norma
Franco,Novella
Frido,Nuccia
Frontiniano,Nunziata
Fulberto,Odetta
Fulgenzio,Odilia
Fulvio,Ofelia
Furio,Olga
Furseo,Olimpia
Fuscolo,Olinda
 ,Olivia
Gabino,Oliviera
Gabriele,Ombretta
Gaetano,Ondina
Gaglioffo,Onesta
Gaio,Onorata
Galdino,Onorina
Galeazzo,Orchidea
Galileo,Oriana
Gallicano,Orietta
Gandolfo,Ornella
Garimberto,Orsola
Gaspare,Orsolina
Gastone,Ortensia
Gaudenzio,Osanna
Gaudino,Otilia
Gautiero,Ottilia
Gavino,Palladia
Gedeone,Palmazio
Geminiano,Palmira
Generoso,Pamela
Genesio,Paola
Gennaro,Patrizia
Gentile,Pelagia
Genziano,Penelope
Gerardo,Perla
Gerasimo,Petronilla
Geremia,Pia
Gerino,Piera
Germano,Placida
Gerolamo,Polissena
Geronimo,Porzia
Geronzio,Prisca
Gervasio,Priscilla
Gesualdo,Proserpina
Gherardo,Prospera
Giacinto,Prudenzia
Giacobbe,Quartilla
Giacomo,Quieta
Giadero,Quiteria
Giambattista, 
Gianbattista,Rachele
Giancarlo,Raffaella
Giandomenico,Rainelda
Gianfranco,Rebecca
Gianluca,Regina
Gianluigi,Renata
Gianmarco,Riccarda
Gianmaria,Rina
Gianmario,Rita
Gianni,Roberta
Gianpaolo,Romana
Gianpiero,Romilda
Gianpietro,Romina
Gianuario,Romola
Giasone,Rosa
Gilberto,Rosalia
Gildo,Rosalinda
Gillo,Rosamunda
Gineto,Rosanna
Gino,Rosita
Gioacchino,Rosmunda
Giobbe,Rossana
Gioberto,Rossella
Giocondo,Rufina
Gioele,Saba
Giona,Sabina
Gionata,Sabrina
Giordano,Samanta
Giorgio,Samona
Giosuè,Sandra
Giosuele,Santina
Giotto,Sara
Giovanni,Savina
Giove,Scolastica
Gioventino,Sebastiana
Giovenzio,Seconda
Girardo,Secondina
Girolamo,Sefora
Giuda,Selene
Giuliano,Selvaggia
Giulio,Semiramide
Giuseppe,Serafina
Giustiniano,Serena
Giusto,Severa
Glauco,Sibilla
Goffredo,Sidonia
Golia,Silvana
Gomberto,Silvia
Gondulfo,Simona
Gonerio,Simonetta
Gonzaga,Siria
Gordiano,Smeralda
Gosto,Soave
Gottardo,Sofia
Graciliano,Sofronia
Grato,Solange
Graziano,Sonia
Gregorio,Speranza
Grimaldo,Stefania
Gualberto,Stella
Gualtiero,Susanna
Guelfo,Sveva
Guerrino,Tabita
Guglielmo,Tamara
Guiberto,Tarquinia
Guido,Tarsilla
Guiscardo,Taziana
Gumesindo,Tea
Gustavo,Tecla
 ,Telica
Iacopo,Teodata
Iacopone,Teodolinda
Iago,Teodora
Icaro,Teresa
Icilio,Teudosia
Ido,Tina
Iginio,Tiziana
Igino,Tosca
Ignazio,Trasea
Igor,Tullia
Ilario,Ugolina
Ildebrando,Ulfa
Ildefonso,Uliva
Illidio,Unna
Illuminato,Vala
Immacolato,Valentina
Indro,Valeria
Innocente,Valeriana
Innocenzo,Vanda
Iorio,Vanessa
Ippocrate,Vanna
Ippolito,Venera
Ireneo,Veneranda
Isacco,Venere
Isaia,Venusta
Ischirione,Vera
Isidoro,Verdiana
Ismaele,Verena
Italo,Veriana
Ivan,Veridiana
Ivano,Veronica
Ivanoe,Viliana
Ivo,Vilma
Ivone,Vincenza
Ladislao,Viola
Lamberto,Violante
Lancilotto,Virginia
Landolfo,Vissia
Lanfranco,Vittoria
Lapo,Viviana
Laurentino,Wanda
Lauriano,Zabina
Lautone,Zaira
Lavinio,Zama
Lazzaro,Zanita
Leandro,Zarina
Leo,Zelinda
Leonardo,Zenobia
Leone,Zita
Leonida,Zoe
Leonio,Zosima
Leonzio, 
Leopardo,
Leopoldo,
Letterio,
Liberato,
Liberatore,
Liberio,
Libero,
Liberto,
Liborio,
Lidio,
Lieto,
Lino,
Lisandro,
Livino,
Livio,
Lodovico,
Loreno,
Lorenzo,
Loris,
Luca,
Luciano,
Lucio,
Ludano,
Ludovico,
Luigi,
 ,
Macario,
Maccabeo,
Maffeo,
Maggiorino,
Magno,
Maiorico,
Malco,
Mamante,
Mancio,
Manetto,
Manfredo,
Manilio,
Manlio,
Mansueto,
Manuele,
Marcello,
Marciano,
Marco,
Mariano,
Marino,
Mario,
Marolo,
Martino,
Marzio,
Massimiliano,
Massimo,
Matroniano,
Matteo,
Mattia,
Maurilio,
Maurizio,
Mauro,
Medardo,
Medoro,
Melanio,
Melchiade,
Melchiorre,
Melezio,
Menardo,
Menelao,
Meneo,
Mennone,
Mercurio,
Metello,
Metrofane,
Michelangelo,
Michele,
Milo,
Minervino,
Mirco,
Mirko,
Mirocleto,
Misaele,
Modesto,
Monaldo,
Monitore,
Moreno,
Mosè,
Muziano,
 ,
Namazio,
Napoleone,
Narciso,
Narseo,
Narsete,
Natale,
Nazario,
Nazzareno,
Nazzaro,
Neopolo,
Neoterio,
Nereo,
Neri,
Nestore,
Nicarete,
Nicea,
Niceforo,
Niceto,
Nicezio,
Nico,
Nicodemo,
Nicola,
Nicolò,
Niniano,
Nino,
Noè,
Norberto,
Nostriano,
Nunzio,
Oddone,
Oderico,
Odidone,
Odorico,
Olimpio,
Olindo,
Oliviero,
Omar,
Omero,
Onesto,
Onofrio,
Onorino,
Onorio,
Orazio,
Orenzio,
Oreste,
Orfeo,
Orio,
Orlando,
Oronzo,
Orsino,
Orso,
Ortensio,
Oscar,
Osmondo,
Osvaldo,
Otello,
Ottaviano,
Ottavio,
Ottone,
Ovidio,
Paciano,
Pacifico,
Pacomio,
Palatino,
Palladio,
Pammachio,
Pancario,
Pancrazio,
Panfilo,
Pantaleo,
Pantaleone,
Paolo,
Pardo,
Paride,
Parmenio,
Pasquale,
Paterniano,
Patrizio,
Patroclo,
Pauside,
Peleo,
Pellegrino,
Pericle,
Perseo,
Petronio,
Pierangelo,
Piergiorgio,
Pierluigi,
Piermarco,
Piero,
Piersilvio,
Pietro,
Pio,
Pippo,
Placido,
Platone,
Plinio,
Plutarco,
Polidoro,
Polifemo,
Pollione,
Pompeo,
Pomponio,
Ponziano,
Ponzio,
Porfirio,
Porziano,
Postumio,
Prassede,
Priamo,
Primo,
Prisco,
Privato,
Procopio,
Prospero,
Protasio,
Proteo,
Prudenzio,
Publio,
Pupolo,
Pusicio,
Quarto,
Quasimodo,
Querano,
Quintiliano,
Quintilio,
Quintino,
Quinziano,
Quinzio,
Quirino,
Radolfo,
Raffaele,
Raide,
Raimondo,
Rainaldo,
Ramiro,
Raniero,
Ranolfo,
Reginaldo,
Regolo,
Remigio,
Remo,
Remondo,
Renato,
Renzo,
Respicio,
Ricario,
Riccardo,
Richelmo,
Rinaldo,
Rino,
Robaldo,
Roberto,
Rocco,
Rodiano,
Rodolfo,
Rodrigo,
Rolando,
Rolfo,
Romano,
Romeo,
Romero,
Romoaldo,
Romolo,
Romualdo,
Rosario,
Rubiano,
Rufino,
Rufo,
Ruggero,
Ruperto,
Rutilo,
Sabato,
Sabazio,
Sabele,
Sabino,
Saffiro,
Saffo,
Saladino,
Salomè,
Salomone,
Salustio,
Salvatore,
Salvo,
Samuele,
Sandro,
Sansone,
Sante,
Santo,
Sapiente,
Sarbello,
Saturniano,
Saturnino,
Saul,
Saverio,
Savino,
Sebastiano,
Secondiano,
Secondo,
Semplicio,
Sempronio,
Senesio,
Senofonte,
Serafino,
Serapione,
Sergio,
Servidio,
Serviliano,
Sesto,
Settimio,
Settimo,
Severiano,
Severino,
Severo,
Sico,
Sicuro,
Sidonio,
Sigfrido,
Sigismondo,
Silvano,
Silverio,
Silvestro,
Silvio,
Simeone,
Simone,
Sinesio,
Sinfronio,
Sireno,
Siriano,
Siricio,
Sirio,
Siro,
Sisto,
Soccorso,
Socrate,
Solocone,
Sostene,
Sosteneo,
Sostrato,
Spano,
Spartaco,
Speranzio,
Stanislao,
Stefano,
Stiliano,
Stiriaco,
Surano,
Sviturno,
Taddeo,
Taide,
Tammaro,
Tancredi,
Tarcisio,
Tarso,
Taziano,
Tazio,
Telchide,
Telemaco,
Temistocle,
Teobaldo,
Teodoro,
Teodosio,
Teodoto,
Teogene,
Terenzio,
Terzo,
Tesauro,
Tesifonte,
Tibaldo,
Tiberio,
Tiburzio,
Ticone,
Timoteo,
Tirone,
Tito,
Tiziano,
Tizio,
Tobia,
Tolomeo,
Tommaso,
Torquato,
Tosco,
Tranquillo,
Tristano,
Tulliano,
Tullio,
Turi,
Turibio,
Tussio,
Ubaldo,
Ubertino,
Uberto,
Ugo,
Ugolino,
Uguccione,
Ulberto,
Ulderico,
Ulfo,
Ulisse,
Ulpiano,
Ulrico,
Ulstano,
Ultimo,
Umberto,
Umile,
Uranio,
Urbano,
Urdino,
Uriele,
Ursicio,
Ursino,
Ursmaro,
Valente,
Valentino,
Valeriano,
Valerico,
Valerio,
Valfredo,
Valfrido,
Valtena,
Valter,
Varo,
Vasco,
Vedasto,
Velio,
Venanzio,
Venceslao,
Venerando,
Venerio,
Ventura,
Venustiano,
Venusto,
Verano,
Verecondo,
Verenzio,
Verulo,
Vespasiano,
Vezio,
Vidiano,
Vidone,
Vilfredo,
Viliberto,
Vincenzo,
Vindonio,
Vinebaldo,
Vinfrido,
Vinicio,
Virgilio,
Virginio,
Virone,
Viscardo,
Vitale,
Vitalico,
Vito,
Vittore,
Vittoriano,
Vittorio,
Vivaldo,
Viviano,
Vladimiro,
Vodingo,
Volfango,
Vulmaro,
Vulpiano,
Walter,
Zabedeo,
Zaccaria,
Zaccheo,
Zanobi,
Zefiro,
Zena,
Zenaide,
Zenebio,
Zeno,
Zenobio,
Zenone,
Zetico,
Zoilo,
Zosimo,
 ,
